ADM3_PCODE,PARROQUIA,CANTON,RIESGO_INUNDACION,SCORE
EC080150,ESMERALDAS,ESMERALDAS,Bajo,0.7228
EC080152,CAMARONES,ESMERALDAS,Medio,0.4784
EC080153,CORONEL CARLOS CONCHA TORRES,ESMERALDAS,Bajo,0.6039
EC080154,CHINCA,ESMERALDAS,Alto,0.6304
EC080159,MAJUA,ESMERALDAS,Medio,0.4739
EC080163,SAN MATEO,ESMERALDAS,Alto,0.5957
EC080165,TABIAZO,ESMERALDAS,Medio,0.4742
EC080166,TACHINA,ESMERALDAS,Medio,0.4526
EC080168,VUELTA LARGA,ESMERALDAS,Medio,0.6022
EC080250,VALDEZ,ELOY ALFARO,Medio,0.3921
EC080251,ANCHAYACU,ELOY ALFARO,Medio,0.5079
EC080252,ATAHUALPA,ELOY ALFARO,Alto,0.559
EC080253,BORBÓN,ELOY ALFARO,Medio,0.4624
EC080254,LA TOLA,ELOY ALFARO,Alto,0.6726
EC080255,LUIS VARGAS TORRES,ELOY ALFARO,Medio,0.6313
EC080256,MALDONADO,ELOY ALFARO,Alto,0.713
EC080257,PAMPANAL DE BOLÍVAR,ELOY ALFARO,Alto,0.7453
EC080258,SAN FRANCISCO DE ONZOLE,ELOY ALFARO,Alto,0.8348
EC080259,SANTO DOMINGO DE ONZOLE,ELOY ALFARO,Medio,0.5433
EC080260,SELVA ALEGRE,ELOY ALFARO,Alto,0.5376
EC080261,TELEMBÍ,ELOY ALFARO,Medio,0.6112
EC080262,COLÓN ELOY DEL MARÍA,ELOY ALFARO,Medio,0.613
EC080263,SAN JOSÉ DE CAYAPAS,ELOY ALFARO,Alto,0.8254
EC080264,TIMBIRÉ,ELOY ALFARO,Medio,0.6727
EC080265,SANTA LUCÍA DE LAS PEÑAS,ELOY ALFARO,Medio,0.4521
EC080350,MUISNE,MUISNE,Medio,0.5281
EC080351,BOLÍVAR,MUISNE,Medio,0.6209
EC080352,DAULE,MUISNE,Bajo,0.6825
EC080353,GALERA,MUISNE,Bajo,0.8261
EC080354,QUINGUE,MUISNE,Bajo,0.8534
EC080355,SÁLIMA,MUISNE,Alto,0.5052
EC080356,SAN FRANCISCO,MUISNE,Bajo,0.8563
EC080357,SAN GREGORIO,MUISNE,Medio,0.5798
EC080358,SAN JOSÉ DE CHAMANGA,MUISNE,Medio,0.5135
EC080450,ROSA ZÁRATE,QUININDÉ,Medio,0.7785
EC080451,CUBE,QUININDÉ,Medio,0.6735
EC080452,CHURA,QUININDÉ,Medio,0.6947
EC080453,MALIMPIA,QUININDÉ,Medio,0.739
EC080454,VICHE,QUININDÉ,Medio,0.4533
EC080455,LA UNIÓN,QUININDÉ,Medio,0.7788
EC080550,SAN LORENZO,SAN LORENZO,Alto,0.5063
EC080551,ALTO TAMBO,SAN LORENZO,Medio,0.519
EC080552,ANCÓN,SAN LORENZO,Alto,0.7435
EC080553,CALDERÓN,SAN LORENZO,Alto,0.7717
EC080554,CARONDELET,SAN LORENZO,Alto,0.4708
EC080555,5 DE JUNIO,SAN LORENZO,Alto,0.7051
EC080556,CONCEPCIÓN,SAN LORENZO,Alto,0.9164
EC080557,MATAJE,SAN LORENZO,Medio,0.4226
EC080558,SAN JAVIER DE CACHAVÍ,SAN LORENZO,Alto,0.6062
EC080559,SANTA RITA,SAN LORENZO,Medio,0.4601
EC080560,TAMBILLO,SAN LORENZO,Alto,0.8442
EC080561,TULULBÍ,SAN LORENZO,Alto,0.6646
EC080562,URBINA,SAN LORENZO,Alto,0.6935
EC080650,ATACAMES,ATACAMES,Medio,0.6669
EC080455,LA UNIÓN,ATACAMES,Medio,0.7464
EC080652,SÚA,ATACAMES,Medio,0.5392
EC080653,TONCHIGÜE,ATACAMES,Bajo,0.6546
EC080654,TONSUPA,ATACAMES,Medio,0.6708
EC080750,RIOVERDE,RIOVERDE,Alto,0.6019
EC080751,CHONTADURO,RIOVERDE,Bajo,0.8237
EC080752,CHUMUNDÉ,RIOVERDE,Bajo,0.777
EC080753,LAGARTO,RIOVERDE,Medio,0.6304
EC080754,MONTALVO,RIOVERDE,Alto,0.484
EC080755,ROCAFUERTE,RIOVERDE,Bajo,0.8134
